# GRCh38.p14 alt loci scaffold placement relative to primary chromosomes
# Source: UCSC hg38 altSeqLiftOverPsl + NCBI GCF_000001405.40 assembly report
# Date built: 2026-03-11
#
# Columns:
#   ucsc_alt_name       UCSC-style name of the alt scaffold (matches BAM/BED naming)
#   primary_chrom       Primary chromosome this scaffold is placed on
#   primary_start       0-based start of aligned region on the primary chromosome
#   primary_end         End of aligned region on primary chromosome (half-open)
#   alt_aligned_start   0-based start of aligned region on the alt scaffold
#   alt_aligned_end     End of aligned region on alt scaffold (half-open)
#   alt_start_tail      Unaligned bases before the aligned region on the alt scaffold
#   alt_stop_tail       Unaligned bases after the aligned region on the alt scaffold
#   alt_seq_length      Full length of the alt scaffold
#   orientation         Strand of the alt scaffold relative to primary (+/-)
#   refseq_acc          RefSeq accession (matches NCBI FASTA headers)
#   genbank_acc         GenBank accession (GL/KI/KQ etc. prefix)
#   assembly_unit       NCBI assembly unit group (ALT_REF_LOCI_N)
#   coord_conversion    Linear formula: primary_pos -> alt_pos (ignores small indels;
#                       sufficient for read-overlap fetching purposes)
#                       Valid range: primary_pos in [primary_start, primary_end)
ucsc_alt_name	primary_chrom	primary_start	primary_end	alt_aligned_start	alt_aligned_end	alt_start_tail	alt_stop_tail	alt_seq_length	orientation	refseq_acc	genbank_acc	assembly_unit	coord_conversion
chr1_KI270762v1_alt	chr1	2448810	2791270	0	354444	0	0	354444	+	NT_187515.1	KI270762.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 2448810)
chr1_KQ983255v1_alt	chr1	13004384	13312803	0	278659	0	0	278659	+	.	.	.	alt_pos = 0 + (primary_pos - 13004384)
chr1_KI270766v1_alt	chr1	13075112	13312803	20632	256271	20632	0	256271	+	NT_187517.1	KI270766.1	ALT_REF_LOCI_1	alt_pos = 20632 + (primary_pos - 13075112)
chr1_KQ458383v1_alt	chr1	23237485	23579959	0	349938	0	0	349938	+	.	.	.	alt_pos = 0 + (primary_pos - 23237485)
chr1_KZ208904v1_alt	chr1	28206356	28366763	0	166136	0	0	166136	+	.	.	.	alt_pos = 0 + (primary_pos - 28206356)
chr1_KI270760v1_alt	chr1	30352190	30456601	0	109528	0	0	109528	+	NT_187514.1	KI270760.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 30352190)
chr1_KZ208905v1_alt	chr1	72287733	72419130	0	140355	0	0	140355	+	.	.	.	alt_pos = 0 + (primary_pos - 72287733)
chr1_KQ458382v1_alt	chr1	103909380	104045121	0	141019	0	0	141019	+	.	.	.	alt_pos = 0 + (primary_pos - 103909380)
chr1_KV880763v1_alt	chr1	107987824	108539424	0	551020	0	0	551020	+	.	.	.	alt_pos = 0 + (primary_pos - 107987824)
chr1_KV880763v1_alt	chr1	108222601	108471742	234766	483574	234766	67446	551020	-	.	.	.	alt_pos = 483574 - (primary_pos - 108222601)
chr1_MU273330v1_alt	chr1	120382303	120906271	0	516764	0	0	516764	+	.	.	.	alt_pos = 0 + (primary_pos - 120382303)
chr1_KI270765v1_alt	chr1	144488705	144674781	0	185285	0	0	185285	+	NT_187520.1	KI270765.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 144488705)
chr1_GL383518v1_alt	chr1	153700530	153865738	17253	182439	17253	0	182439	+	NW_003315905.1	GL383518.1	ALT_REF_LOCI_1	alt_pos = 17253 + (primary_pos - 153700530)
chr1_GL383519v1_alt	chr1	155210381	155305245	15376	110268	15376	0	110268	+	NW_003315906.1	GL383519.1	ALT_REF_LOCI_1	alt_pos = 15376 + (primary_pos - 155210381)
chr1_MU273331v1_alt	chr1	196150324	197082310	0	847441	0	0	847441	+	.	.	.	alt_pos = 0 + (primary_pos - 196150324)
chr1_GL383520v2_alt	chr1	198370082	198725175	0	366580	0	0	366580	+	NW_003315907.2	GL383520.2	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 198370082)
chr1_KI270764v1_alt	chr1	234163456	234211370	0	50258	0	0	50258	+	NT_187521.1	KI270764.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 234163456)
chr1_KQ458384v1_alt	chr1	235360199	235568613	0	212205	0	0	212205	+	.	.	.	alt_pos = 0 + (primary_pos - 235360199)
chr1_KI270763v1_alt	chr1	242987892	243895211	0	911658	0	0	911658	+	NT_187519.1	KI270763.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 242987892)
chr1_KI270759v1_alt	chr1	245305696	245727576	0	425601	0	0	425601	+	NT_187516.1	KI270759.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 245305696)
chr1_KI270761v1_alt	chr1	248352026	248511794	0	165834	0	0	165834	+	NT_187518.1	KI270761.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 248352026)
chr1_KI270892v1_alt	chr1	248352026	248511794	0	162212	0	0	162212	+	NT_187646.1	KI270892.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 248352026)
chr1_MU273332v1_alt	chr1	248352026	248693469	0	335159	0	0	335159	+	.	.	.	alt_pos = 0 + (primary_pos - 248352026)
chr1_MU273332v1_alt	chr1	248483457	248564626	131430	206542	131430	128617	335159	-	.	.	.	alt_pos = 206542 - (primary_pos - 248483457)
chr2_KI270770v1_alt	chr2	728877	860300	0	136240	0	0	136240	+	NT_187525.1	KI270770.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 728877)
chr2_KI270773v1_alt	chr2	1204934	1273724	0	70887	0	0	70887	+	NT_187526.1	KI270773.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 1204934)
chr2_KI270774v1_alt	chr2	1315176	1541254	0	223625	0	0	223625	+	NT_187529.1	KI270774.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 1315176)
chr2_KI270769v1_alt	chr2	3391897	3511146	0	120616	0	0	120616	+	NT_187522.1	KI270769.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 3391897)
chr2_GL383521v1_alt	chr2	36225958	36363315	0	143390	0	0	143390	-	NW_003315908.1	GL383521.1	ALT_REF_LOCI_1	alt_pos = 143390 - (primary_pos - 36225958)
chr2_MU273340v1_alt	chr2	85073814	85358733	0	284971	0	0	284971	+	.	.	.	alt_pos = 0 + (primary_pos - 85073814)
